,id,date,fav,followers,f/fo,content,buz_factor
29,1246109652640620545,2020-04-03 16:17:47,216,667,0.3238380809595202,... burt 1.1.1 is no more #Splatoon2 #NintendoSwitch https://t.co/toScbCT9m2,0.3831786546275598
48,1245682879545237504,2020-04-02 12:01:56,200,13046,0.015330369461904032,たくさんキルできてうれしい #Splatoon2 #スプラトゥーン2 #NintendoSwitch https://t.co/AD7DLABY7L,0.3908059105955355
59,1245338734091849730,2020-04-01 13:14:26,211,6594,0.03199878677585684,Only skill #Splatoon2 #NintendoSwitch https://t.co/mkcMAZTHNB,0.39158495899494844
36,1245994608955285504,2020-04-03 08:40:38,221,1340,0.16492537313432837,"スプラトゥーン2が壊れました…　
#拡散希望 #Splatoon2 #スプラトゥーン2 #NintendoSwitch https://t.co/oHaG1avdSD",0.3940224202497174
83,1244849487454986240,2020-03-31 04:50:20,221,1435,0.154006968641115,初めてエリアでいった！！味方ありがとー！！！！めっちゃ嬉しい！ #Splatoon2 #スプラトゥーン2 #NintendoSwitch https://t.co/wMBMjis7Aw,0.39430265450185287
53,1245547332663496705,2020-04-02 03:03:19,222,1359,0.16335540838852097,初めて計測全勝した！！！！！ #Splatoon2 #スプラトゥーン2 #NintendoSwitch https://t.co/rGNV6lKvwh,0.39586159556963924
1,1246812443289894914,2020-04-05 14:50:25,217,4914,0.04415954415954416,オートロキャンプ強ポジはココだ！！ #Splatoon2 #スプラトゥーン2 #NintendoSwitch https://t.co/tepACB8Pr8,0.3975195113208177
77,1244880804116705280,2020-03-31 06:54:47,225,1090,0.20642201834862386,#Splatoon2 #スプラトゥーン2 #NintendoSwitch https://t.co/8zBApp5wXV,0.4004051757499706
8,1246724523610660865,2020-04-05 09:01:04,223,2555,0.08727984344422701,"2020年アサリのかわいい入れ方ランキング暫定1位

#Splatoon2
#スプラトゥーン2
#NintendoSwitch https://t.co/74nlp0WqoH",0.401235297467573
79,1244868054682439680,2020-03-31 06:04:07,216,9189,0.023506366307541625,エリア計測後2150まで落ちたけど結構頑張った！ #Splatoon2 #スプラトゥーン2 #NintendoSwitch https://t.co/5i5wfnS8GZ,0.4091319004373753
64,1245277909440286721,2020-04-01 09:12:44,228,2237,0.10192221725525256,"初めての計測全勝したw
 #Splatoon2 #スプラトゥーン2 #NintendoSwitch https://t.co/mftCHb9SBe",0.4092490688870953
52,1245586610000805888,2020-04-02 05:39:24,210,13046,0.016096887934999235,このぶきつんえ #Splatoon2 #スプラトゥーン2 #NintendoSwitch https://t.co/MTvzSu3cDu,0.4103462061253123
9,1246699856430632960,2020-04-05 07:23:02,234,667,0.35082458770614694,え、、、、嬉しすぎて死にそう #Splatoon2 #スプラトゥーン2 #NintendoSwitch https://t.co/2qWedsCybr,0.41511020917985647
84,1244794101926510593,2020-03-31 01:10:15,202,21533,0.009380950169507268,ローラーとマニューバ以外の全ての短射程が輝ける環境を目指して(~o~) #Splatoon2 https://t.co/Dx4sFOSp8w,0.42423496821269013
72,1244968795036200960,2020-03-31 12:44:25,233,6820,0.03416422287390029,こっちの連打のが得意 #Splatoon2 #スプラトゥーン2 #NintendoSwitch https://t.co/Dy8ZAGB6l2,0.4331760747611789
19,1246410532493524993,2020-04-04 12:13:22,226,13046,0.017323317491951557,オールだけどなんかしょぼいな #Splatoon2 #スプラトゥーン2 #NintendoSwitch https://t.co/X3VRPRhLug,0.44161067897295514
41,1245891087304019968,2020-04-03 01:49:17,219,17038,0.012853621317055992,これで負けんのしょうもな #Splatoon2 #スプラトゥーン2 #NintendoSwitch https://t.co/E3QPwYl30j,0.4424131515189461
7,1246747920331730945,2020-04-05 10:34:02,249,4953,0.05027256208358571,バレルスピナーデッコ #Splatoon2 #スプラトゥーン2 #NintendoSwitch https://t.co/xbJNiGFZmF,0.4562766826850248
66,1245222038647607296,2020-04-01 05:30:43,261,283,0.9222614840989399,"#Splatoon2 #スプラトゥーン2 #NintendoSwitch
やりますねぇ！！ https://t.co/WGMqNd4qVm",0.4616878675155828
56,1245343978054025217,2020-04-01 13:35:16,252,6820,0.03695014662756598,計測回線落ちまけ以外全勝　2700 #Splatoon2 #スプラトゥーン2 #NintendoSwitch https://t.co/RIwvdCOBGP,0.468499445664451
28,1246160301378027520,2020-04-03 19:39:03,260,5668,0.045871559633027525,悔しくて永遠試しうちしてたらエイムやばくなた #Splatoon2 #スプラトゥーン2 #NintendoSwitch https://t.co/fRLd0yiryT,0.47906721038672184
0,1246818028337025028,2020-04-05 15:12:37,271,667,0.4062968515742129,念願のX到達しましたああああ！！ #Splatoon2 #スプラトゥーン2 #NintendoSwitch https://t.co/a4UThdkT2H,0.4807472935373551
82,1244851640231849984,2020-03-31 04:58:53,269,3539,0.07601017236507487,"本垢も2900きたー！！！
 #Splatoon2 #スプラトゥーン2 #NintendoSwitch https://t.co/QCaSluME9F",0.48762386613118763
22,1246385939875647488,2020-04-04 10:35:39,280,2429,0.11527377521613832,効いたよね、早めの28 #Splatoon2 #スプラトゥーン2 #NintendoSwitch https://t.co/Prn0gJvk43,0.5033144104247994
78,1244868858680184832,2020-03-31 06:07:19,292,411,0.7104622871046229,運で29いけました　味方さんありがとうございます(TT) #Splatoon2 #スプラトゥーン2 #NintendoSwitch https://t.co/XApnalqDHP,0.5170155602755555
40,1245911190036836352,2020-04-03 03:09:10,249,21533,0.01156364649607579,気付けば誰かしらガチアサリを持ってて敵陣でナイスした瞬間スパジャンしてくれて引く時は一斉に前線を下げてくれる素晴らしい試合だった #Splatoon2 https://t.co/sSxVSXt0Lw,0.5229431043809893
75,1244906601124777986,2020-03-31 08:37:17,306,492,0.6219512195121951,"#Splatoon2 #スプラトゥーン2 #NintendoSwitch
ハイカス初めて2800きたあああああ！！！！！
味方皆ありがとう！！！
応援してくれた人もありがとう！！！！！
皆褒めて！！！！！！！！！！！！！！ https://t.co/EsYfxCHh2o",0.5421302261463202
58,1245339740959690755,2020-04-01 13:18:26,284,13046,0.021769124635903726,うますぎ #Splatoon2 #スプラトゥーン2 #NintendoSwitch https://t.co/ZNrXG338TH,0.5549443930456605
57,1245343582258483201,2020-04-01 13:33:42,303,4914,0.061660561660561664,#Splatoon2 #スプラトゥーン2 #NintendoSwitch https://t.co/0YjTbS78pe,0.5550618061299897
32,1246069374051475457,2020-04-03 13:37:44,319,2252,0.141651865008881,#Splatoon2 #スプラトゥーン2 #NintendoSwitch https://t.co/O1f46liFs6,0.5726544018124202
